timestamp,device_id,device_type,cpu_usage,memory_usage,network_in_kb,network_out_kb,packet_rate,avg_response_time_ms,service_access_count,failed_auth_attempts,is_encrypted,geo_location_variation,label
25:14.5,thermostat_45,thermostat,67.8,50.34,392,831,424,447.36,7,7,0,12.38,Anomaly_DoS
25:15.5,sensor_22,sensor,13.18,84.26,853,395,593,412.59,5,2,1,15.54,Normal
25:16.5,smart_light_47,smart,43.04,54.25,639,796,171,307.35,9,6,0,15.3,Normal
25:17.5,camera_28,camera,35.6,74.79,1344,273,57,294.79,5,3,1,14.29,Normal
25:18.5,sensor_29,sensor,33.44,38.52,403,445,14,265.16,5,2,1,7.12,Normal
25:19.5,thermostat_35,thermostat,53.22,39.38,654,12,70,92.34,2,4,0,9.04,Anomaly_Injection
25:20.5,camera_27,camera,79.99,40.45,944,48,855,74.3,3,5,0,16.33,Normal
25:21.5,camera_44,camera,31.19,29.35,908,1355,217,317.99,6,8,1,13.19,Normal
25:22.5,sensor_32,sensor,85.74,22.44,984,281,317,207.18,8,1,1,1.07,Normal
25:23.5,thermostat_40,thermostat,68.69,78.44,128,1188,112,482.17,8,6,0,13.9,Normal
25:24.5,sensor_7,sensor,54,79.06,187,191,823,251.51,8,9,0,7.81,Normal
25:25.5,camera_14,camera,46.15,34.91,1426,702,756,354.04,3,3,1,18.28,Normal
25:26.5,thermostat_20,thermostat,53.57,74.19,1249,97,621,398.71,9,1,1,10.13,Normal
25:27.5,sensor_14,sensor,70.06,82.72,1243,1283,410,64.01,9,4,1,13.92,Normal
25:28.5,thermostat_4,thermostat,23.69,83.04,1076,144,174,435.4,9,1,0,7.3,Anomaly_Spoofing
25:29.5,thermostat_30,thermostat,43.06,39.66,1254,685,378,318.5,5,8,0,10.67,Normal
25:30.5,camera_29,camera,42.56,44.54,63,1389,35,390.95,3,3,0,2.25,Normal
25:31.5,smart_light_42,smart,58.78,63.02,949,868,538,279.71,8,3,1,1.8,Normal
25:32.5,sensor_50,sensor,22.59,70.95,461,1159,355,464.2,3,4,0,8.54,Anomaly_Injection
25:33.5,camera_10,camera,22.71,60,610,1412,20,206.07,1,3,1,6.58,Normal
25:34.5,camera_38,camera,40.42,29.36,390,397,269,155.5,8,10,0,0.78,Normal
25:35.5,thermostat_44,thermostat,89.11,31.11,51,270,942,498.81,3,0,0,4.51,Normal
25:36.5,smart_light_22,smart,76.89,78.57,979,1404,950,384.65,4,8,1,2.99,Normal
25:37.5,sensor_19,sensor,51.41,31.72,186,597,482,337.75,2,1,0,17.37,Normal
25:38.5,thermostat_19,thermostat,24.84,84.79,839,228,835,141.79,2,1,1,2.7,Normal
25:39.5,camera_22,camera,54.07,75.95,1346,1180,583,274.34,4,5,1,0.88,Anomaly_Spoofing
25:40.5,camera_19,camera,76.93,84.96,1382,1400,336,67.67,8,3,1,15.28,Normal
25:41.5,camera_40,camera,41.23,72.52,216,980,953,457,7,7,1,5.33,Normal
25:42.5,smart_light_48,smart,18.21,34.36,929,481,416,213.73,4,3,1,18.47,Normal
25:43.5,thermostat_2,thermostat,35.6,84.51,321,1310,733,341.03,5,9,1,16.33,Anomaly_DoS
25:44.5,thermostat_50,thermostat,49.38,20.17,427,281,571,334.59,4,8,0,0.79,Normal
25:45.5,thermostat_10,thermostat,62.7,14.65,1448,1332,831,196.42,7,5,1,0.92,Normal
25:46.5,smart_light_25,smart,17.17,47.09,884,1152,301,280.45,1,4,1,9.42,Normal
25:47.5,camera_39,camera,63.7,84.22,1154,1493,500,227.82,8,6,0,9.25,Anomaly_DoS
25:48.5,thermostat_49,thermostat,70.49,84.59,1089,31,184,152.61,8,8,1,18.64,Normal
25:49.5,camera_42,camera,61.98,16.6,754,1289,365,51.33,8,0,0,13.14,Normal
25:50.5,camera_12,camera,47.36,73.74,1276,1054,942,237.89,7,9,1,16.61,Anomaly_Spoofing
25:51.5,smart_light_43,smart,60.85,51.48,1100,538,369,488.77,2,0,1,16.84,Anomaly_Injection
25:52.5,camera_10,camera,73.1,14.06,1058,149,214,479.94,4,3,1,1.14,Normal
25:53.5,thermostat_31,thermostat,51.7,25.48,645,161,100,261.99,4,1,1,3.11,Normal
25:54.5,smart_light_13,smart,56.43,14.66,1131,86,970,373.1,9,9,1,8.8,Normal
25:55.5,thermostat_10,thermostat,14.65,27.21,1456,932,231,251.75,3,7,0,9.79,Normal
25:56.5,thermostat_34,thermostat,76.93,26.69,604,674,589,57.31,2,6,1,7.96,Normal
25:57.5,sensor_45,sensor,74.75,24.01,1323,515,257,216.5,5,6,0,14.68,Anomaly_Spoofing
25:58.5,sensor_25,sensor,48.16,71.35,1229,12,792,232.52,9,5,0,16.4,Anomaly_Injection
25:59.5,sensor_25,sensor,40.72,57.6,299,442,206,380.56,1,9,0,8.15,Normal
26:00.5,thermostat_48,thermostat,77.01,63.18,638,953,434,425.12,6,7,1,12.65,Normal
26:01.5,sensor_44,sensor,89.09,67.76,436,1161,928,161.64,8,1,0,4.76,Normal
26:02.5,thermostat_5,thermostat,44.72,61.76,372,289,465,395.94,6,1,0,14.02,Normal
26:03.5,smart_light_20,smart,65.14,50.84,480,638,383,57.95,9,2,1,12.84,Normal
26:04.5,smart_light_7,smart,78.58,68.2,111,332,950,241.73,8,8,0,11.51,Normal
26:05.5,smart_light_31,smart,75.88,65.1,426,1486,493,300.8,5,5,1,17.7,Normal
26:06.5,camera_17,camera,32.39,14.63,647,1378,442,153.23,6,7,0,14.75,Normal
26:07.5,thermostat_26,thermostat,47.02,38.5,553,637,843,251.63,3,2,1,3.65,Normal
26:08.5,sensor_5,sensor,32.61,44.7,826,936,76,314.32,4,3,0,5.14,Normal
26:09.5,thermostat_27,thermostat,36.48,68.83,1206,164,497,274.16,1,3,0,14.34,Normal
26:10.5,thermostat_33,thermostat,39.34,41.35,918,708,749,306.01,3,1,1,17.41,Normal
26:11.5,camera_18,camera,27.26,63.51,1190,1035,424,441.42,3,1,0,13.74,Normal
26:12.5,smart_light_38,smart,80.21,21.66,982,1352,107,89.96,4,7,0,19.89,Normal
26:13.5,thermostat_10,thermostat,27.91,34.35,1254,204,996,374.65,9,4,1,2.89,Normal
26:14.5,smart_light_12,smart,28.59,37.81,86,100,904,40.52,7,9,1,14.35,Normal
26:15.5,camera_44,camera,15.83,24.07,687,966,896,272.88,9,8,1,3.81,Normal
26:16.5,camera_33,camera,59.82,73.35,357,1184,403,499.82,1,2,0,11.07,Normal
26:17.5,thermostat_33,thermostat,72.64,60.71,763,774,408,184.3,6,7,1,14.97,Normal
26:18.5,sensor_20,sensor,32.34,81,553,656,414,73.44,2,7,0,15.91,Normal
26:19.5,sensor_16,sensor,40.51,26.2,1064,1440,937,367.24,2,9,1,3.08,Normal
26:20.5,sensor_11,sensor,79.68,82.21,937,1352,815,93.93,3,7,1,1.36,Normal
26:21.5,thermostat_7,thermostat,47.92,34.3,644,22,722,116.27,4,5,1,8.05,Anomaly_Spoofing
26:22.5,sensor_7,sensor,15.3,37.41,1350,1340,29,34.3,6,3,1,4.1,Normal
26:23.5,sensor_14,sensor,81.88,46.21,495,1430,321,174,2,5,1,4.45,Anomaly_DoS
26:24.5,smart_light_17,smart,70.84,66.98,586,530,421,164.4,6,2,0,16.73,Normal
26:25.5,smart_light_37,smart,10.75,80.2,185,1350,237,460.18,8,5,0,5.38,Anomaly_DoS
26:26.5,thermostat_44,thermostat,12.26,63.69,1234,1022,384,81.15,4,2,1,5.37,Anomaly_DoS
26:27.5,thermostat_20,thermostat,67.85,21.95,1231,921,485,192.91,5,5,1,10.8,Anomaly_Spoofing
26:28.5,sensor_2,sensor,28.96,84.16,1365,592,257,167.38,9,3,0,8.14,Normal
26:29.5,sensor_16,sensor,82.95,14.43,1167,1145,652,78.14,9,7,1,4.26,Anomaly_Injection
26:30.5,smart_light_41,smart,66.78,66.36,1142,1240,989,66.08,5,1,0,19.5,Normal
26:31.5,camera_11,camera,80.57,84.3,877,1012,267,240,1,2,0,14.39,Normal
26:32.5,thermostat_7,thermostat,84.07,18.41,687,938,634,167.14,1,1,1,17.76,Normal
26:33.5,sensor_50,sensor,17.34,23.33,1444,755,874,450.53,9,2,0,0.81,Normal
26:34.5,smart_light_19,smart,14.24,24.3,988,400,498,397.45,2,7,1,5.72,Normal
26:35.5,thermostat_14,thermostat,68.2,10.58,1138,1017,133,137.05,1,10,0,11.63,Anomaly_Spoofing
26:36.5,camera_45,camera,41.77,41.76,163,534,919,51.07,9,3,1,16.96,Normal
26:37.5,thermostat_34,thermostat,26.24,62.91,145,247,490,212.22,8,10,1,18.79,Normal
26:38.5,smart_light_38,smart,85.43,21.03,1032,860,373,497.52,5,8,1,13.31,Normal
26:39.5,smart_light_31,smart,50.23,17.72,220,1127,802,194.63,1,3,0,19.14,Normal
26:40.5,camera_44,camera,49.77,20.06,305,77,711,357.97,6,4,1,10.93,Normal
26:41.5,thermostat_43,thermostat,40.52,81.3,1202,1362,315,489.58,2,0,0,1.13,Normal
26:42.5,smart_light_46,smart,35.59,25.1,781,531,175,425.24,5,6,1,2.19,Normal
26:43.5,camera_1,camera,16.03,38.74,1362,766,143,138.38,1,5,0,16.64,Anomaly_Spoofing
26:44.5,smart_light_43,smart,85.68,15.84,267,264,804,422.85,4,9,1,19.39,Anomaly_DoS
26:45.5,sensor_14,sensor,30.76,49.38,1494,1242,489,72.09,9,2,1,10.84,Anomaly_DoS
26:46.5,smart_light_14,smart,34.67,43.84,473,831,276,234.07,4,9,0,12.32,Anomaly_Spoofing
26:47.5,camera_48,camera,11.13,54.91,893,594,250,422.84,4,8,1,6.23,Anomaly_DoS
26:48.5,smart_light_41,smart,47.05,30.85,1247,851,755,377.78,8,8,1,17.38,Normal
26:49.5,thermostat_18,thermostat,83.56,38.77,671,84,926,301.83,7,0,1,8.72,Normal
26:50.5,sensor_16,sensor,47.91,50.74,1195,923,812,124.01,2,2,0,4.14,Normal
26:51.5,thermostat_33,thermostat,10.39,23.43,186,686,131,219.61,9,5,0,10.07,Normal
26:52.5,thermostat_43,thermostat,83.97,62.64,1342,942,811,165.34,4,2,0,19.21,Anomaly_Injection
26:53.5,sensor_40,sensor,31.4,41.6,980,594,25,400.27,4,6,0,4.55,Normal
26:54.5,camera_39,camera,50.45,10.63,1297,399,923,345.32,5,7,0,16.13,Normal
26:55.5,camera_48,camera,89.46,28.84,539,731,541,285.43,5,7,0,16.56,Normal
26:56.5,thermostat_8,thermostat,42.37,10.82,1314,996,193,34.21,3,6,1,2.49,Normal
26:57.5,sensor_37,sensor,81.75,30.84,1061,990,715,274.42,7,9,0,10.25,Normal
26:58.5,sensor_24,sensor,40.21,74.38,693,856,467,392.24,5,9,0,9.42,Anomaly_Injection
26:59.5,sensor_34,sensor,30.63,78.37,1296,652,661,263.89,2,4,1,7.52,Normal
27:00.5,sensor_40,sensor,78.26,69.81,162,122,854,451.67,3,0,1,6.99,Anomaly_DoS
27:01.5,thermostat_34,thermostat,36.86,19.52,1120,561,837,441.69,9,5,1,16.36,Normal
27:02.5,thermostat_49,thermostat,73.11,43.71,50,176,533,192.81,8,3,0,11.26,Normal
27:03.5,camera_29,camera,17.91,45.89,1234,1295,170,68.14,4,9,1,1.31,Normal
27:04.5,sensor_35,sensor,68.11,43.56,305,162,927,40.67,1,6,1,4.68,Normal
27:05.5,camera_49,camera,17.57,58.32,335,725,860,415.89,2,3,1,1.77,Normal
27:06.5,sensor_47,sensor,63.14,25.77,1174,657,158,487.62,1,8,1,2.49,Normal
27:07.5,sensor_36,sensor,74.96,43.95,1407,178,161,20.88,2,10,1,13.15,Normal
27:08.5,camera_6,camera,67.87,42.25,393,1077,176,388.2,8,1,0,8.82,Anomaly_DoS
27:09.5,smart_light_1,smart,25.49,57.24,1281,798,463,490.03,5,7,1,0.68,Normal
27:10.5,sensor_27,sensor,50.16,43.4,445,482,931,84.13,7,0,1,18.05,Normal
27:11.5,sensor_40,sensor,30.76,15.01,467,654,951,226.47,1,4,1,2.94,Normal
27:12.5,sensor_38,sensor,38.22,23.81,100,271,109,117.3,9,3,1,8.91,Normal
27:13.5,camera_43,camera,62.69,22.4,1275,407,982,421.62,9,10,0,13.37,Normal
27:14.5,sensor_39,sensor,62.65,73.08,1075,913,361,126.98,8,10,0,7.72,Anomaly_DoS
27:15.5,camera_31,camera,14.9,45.97,989,44,706,127.85,3,0,0,11.26,Normal
27:16.5,camera_5,camera,36.98,43.79,774,1382,208,242.87,8,4,1,4.1,Normal
27:17.5,sensor_42,sensor,16.59,11.33,164,419,412,305.01,2,2,1,5.39,Anomaly_DoS
27:18.5,sensor_10,sensor,65.93,78.18,211,714,298,273.43,2,2,1,5.42,Normal
27:19.5,smart_light_29,smart,66.71,71.45,936,1417,654,378.36,4,10,0,3.4,Normal
27:20.5,sensor_35,sensor,62.63,78.93,1473,680,542,169.38,7,2,0,15.3,Normal
27:21.5,smart_light_31,smart,13.3,73.5,775,873,210,24.94,9,9,1,18.57,Normal
27:22.5,camera_33,camera,71.95,45.52,483,242,85,239.51,8,8,0,14.52,Normal
27:23.5,sensor_3,sensor,70.47,18.9,1295,1207,98,191.14,4,2,1,14.7,Normal
27:24.5,camera_28,camera,78.84,38.18,204,133,640,259.03,9,6,0,19.07,Normal
27:25.5,camera_3,camera,81.84,15.67,433,365,73,460.77,9,0,1,7.82,Normal
27:26.5,camera_4,camera,86.7,52.25,656,828,424,160.11,2,0,0,9.21,Normal
27:27.5,sensor_36,sensor,52.46,71.62,715,1245,954,366.31,2,9,0,9.23,Normal
27:28.5,camera_1,camera,78.54,46.87,1217,1166,164,178.15,7,9,1,3.18,Normal
27:29.5,thermostat_22,thermostat,43.82,20.3,361,435,532,457.71,4,8,1,17,Normal
27:30.5,sensor_18,sensor,65.61,68.53,1145,460,240,489.24,7,2,0,7.32,Normal
27:31.5,camera_38,camera,54.35,68.19,93,157,29,98.75,2,6,1,9.26,Normal
27:32.5,thermostat_34,thermostat,32.98,13.42,679,872,373,144.97,4,7,0,10.4,Normal
27:33.5,smart_light_25,smart,44.88,17,690,1083,820,230.98,9,6,0,16.86,Normal
27:34.5,camera_30,camera,27.23,44.26,450,829,227,36.91,9,0,0,10.4,Normal
27:35.5,smart_light_27,smart,83.2,18.86,235,347,459,442.4,6,0,0,1.1,Normal
27:36.5,sensor_24,sensor,42.58,64.24,490,743,712,483.19,3,1,0,14.89,Anomaly_Spoofing
27:37.5,smart_light_47,smart,69.79,50.7,1221,808,626,421.87,5,1,0,9.56,Normal
27:38.5,smart_light_10,smart,57.28,70.31,199,1159,298,54.1,8,4,0,2.9,Normal
27:39.5,sensor_32,sensor,27.06,62.96,851,1381,954,170.7,3,5,1,4.19,Normal
27:40.5,camera_25,camera,51.41,38.35,31,598,66,403.54,9,2,1,5.92,Normal
27:41.5,smart_light_47,smart,62.06,16.64,551,868,108,201.03,9,7,1,3.32,Normal
27:42.5,sensor_18,sensor,59.62,72.5,1159,1159,63,487.33,7,7,0,19.09,Anomaly_Injection
27:43.5,smart_light_5,smart,88.34,36.78,819,1096,849,486.05,9,10,1,6.56,Anomaly_DoS
27:44.5,thermostat_8,thermostat,64.44,21.02,1217,247,891,489.97,1,4,0,10.25,Normal
27:45.5,sensor_21,sensor,31.18,45.25,447,107,397,118.19,5,5,0,13.61,Normal
27:46.5,sensor_32,sensor,42.42,25.27,295,13,703,141.5,9,10,0,14.94,Anomaly_DoS
27:47.5,sensor_34,sensor,33.63,21.92,940,1298,586,25.27,8,10,1,19.28,Normal
27:48.5,thermostat_4,thermostat,13.8,70.68,1081,602,635,96.23,7,9,1,11.62,Normal
27:49.5,camera_21,camera,16.93,75.12,201,663,135,330.14,7,6,1,18.94,Normal
27:50.5,smart_light_32,smart,30.21,37.47,586,154,808,59.7,4,0,1,3.81,Normal
27:51.5,smart_light_25,smart,63.15,77.92,1122,1164,83,374.7,1,6,0,9.68,Normal
27:52.5,camera_41,camera,65.36,29.11,1027,1321,878,112.21,3,6,0,13.32,Normal
27:53.5,camera_46,camera,77.31,44.14,1384,866,265,29.58,8,9,0,1.86,Normal
27:54.5,sensor_21,sensor,16.28,68.28,57,1265,600,325.54,9,1,0,17.33,Anomaly_Injection
27:55.5,thermostat_5,thermostat,16.08,73.97,1004,481,854,31.18,8,2,1,12.4,Normal
27:56.5,smart_light_26,smart,30.89,10.45,786,639,863,398.2,6,3,1,3.02,Normal
27:57.5,thermostat_17,thermostat,68.09,54.52,43,1145,832,391.76,2,10,1,10.05,Anomaly_DoS
27:58.5,camera_28,camera,52.18,80.08,1389,102,999,397.61,4,4,0,14.87,Normal
27:59.5,sensor_14,sensor,40.13,80.22,573,1151,159,429.11,6,3,1,16.15,Anomaly_Spoofing
28:00.5,camera_29,camera,43.44,35.97,803,588,516,226.71,2,10,0,19.53,Normal
28:01.5,sensor_34,sensor,11.29,79.42,1242,637,325,99.05,2,10,0,11.02,Normal
28:02.5,camera_28,camera,18.43,45.74,1223,1137,136,481.32,3,10,1,14.11,Normal
28:03.5,smart_light_4,smart,34.04,56.31,863,275,654,176.48,6,6,0,10.83,Normal
28:04.5,thermostat_7,thermostat,77.41,26.02,235,1283,447,395.28,9,2,1,10.89,Normal
28:05.5,camera_15,camera,34.05,69.57,1397,375,689,394.68,1,10,1,11.85,Normal
28:06.5,thermostat_35,thermostat,60.65,57.74,135,42,297,191.76,2,9,0,10.19,Anomaly_Injection
28:07.5,camera_41,camera,28.2,35.31,446,1160,877,163.27,4,7,0,16.31,Normal
28:08.5,smart_light_32,smart,70.73,63.16,1064,452,936,408.41,2,10,1,13.24,Normal
28:09.5,smart_light_25,smart,22.39,53.32,440,166,605,444.46,2,1,1,17.98,Normal
28:10.5,smart_light_35,smart,20.23,65.64,1484,149,216,242.51,7,1,1,17.96,Normal
28:11.5,camera_48,camera,68.33,67.84,683,540,510,331.77,5,0,0,15.81,Normal
28:12.5,camera_19,camera,22.57,39.71,109,1010,758,340.34,9,2,1,18.64,Normal
28:13.5,sensor_27,sensor,31.63,28.24,47,758,861,95.6,6,1,1,14.41,Normal
28:14.5,smart_light_39,smart,39.41,62.72,1257,25,736,307.92,8,0,0,2.77,Normal
28:15.5,smart_light_26,smart,74.57,20.59,881,413,243,259.4,7,7,1,12.9,Anomaly_DoS
28:16.5,thermostat_30,thermostat,89.08,18.93,1085,92,360,184.88,3,6,0,10.65,Anomaly_Injection
28:17.5,smart_light_41,smart,29.49,37.57,1290,492,986,152.5,9,5,0,8.63,Normal
28:18.5,camera_12,camera,82.6,42.01,1157,605,622,44.71,6,0,1,6.32,Normal
28:19.5,smart_light_3,smart,89.7,70.8,128,305,617,164.21,2,5,0,7.11,Normal
28:20.5,thermostat_3,thermostat,18.5,51.59,431,1301,37,188.45,5,1,1,4.7,Normal
28:21.5,camera_44,camera,14.59,15.43,247,415,707,247.83,1,5,0,3.1,Normal
28:22.5,sensor_38,sensor,39.43,41.48,104,190,265,421.59,2,2,1,4.54,Normal
28:23.5,thermostat_27,thermostat,49.56,76.86,796,128,190,430.78,8,3,0,15.91,Normal
28:24.5,camera_13,camera,53.35,42.94,409,826,684,307.64,3,2,0,18.06,Normal
28:25.5,thermostat_23,thermostat,41.23,76.37,602,67,739,461.67,3,6,1,10.85,Normal
28:26.5,sensor_25,sensor,74.61,34.08,436,622,552,285.22,5,8,0,16.41,Normal
28:27.5,camera_11,camera,22.23,16.39,261,1058,149,174.96,8,5,0,2.8,Normal
28:28.5,sensor_23,sensor,52.25,47.95,60,181,950,481.29,8,8,1,8.64,Normal
28:29.5,sensor_22,sensor,57.44,71.81,1017,1343,319,319.59,6,10,1,19.69,Normal
28:30.5,sensor_8,sensor,80.25,22.39,97,675,547,399.14,2,8,0,18.4,Normal
28:31.5,sensor_8,sensor,55.73,73.21,1256,1428,660,396.24,8,3,1,9.36,Anomaly_DoS
28:32.5,thermostat_38,thermostat,44.58,81,109,1429,580,161.45,6,7,0,12.76,Normal
28:33.5,smart_light_1,smart,18.86,60.24,1354,1457,601,176.98,6,8,0,0.06,Normal
28:34.5,camera_5,camera,83.54,68.85,257,917,25,123.7,2,8,1,3.12,Normal
28:35.5,camera_5,camera,54.17,82.33,204,1310,86,59.76,6,6,0,11.49,Normal
28:36.5,thermostat_11,thermostat,37.54,50,1134,1162,16,57.48,1,8,0,0.31,Anomaly_DoS
28:37.5,thermostat_40,thermostat,77.17,16.27,1069,1470,821,51.87,9,0,0,19.16,Normal
28:38.5,sensor_6,sensor,66.51,56.22,906,1232,555,180.21,9,0,0,0.97,Normal
28:39.5,smart_light_44,smart,63.23,53.92,962,966,127,84.09,1,1,1,18.77,Normal
28:40.5,sensor_16,sensor,58.79,15.78,656,545,152,414.57,7,1,0,9.28,Normal
28:41.5,sensor_7,sensor,51.8,42.73,831,1101,876,304.31,2,0,0,15.44,Normal
28:42.5,smart_light_35,smart,39.78,57.24,305,253,57,170.94,6,0,0,6.38,Normal
28:43.5,smart_light_15,smart,29.27,84.61,1498,911,326,433.58,7,2,1,12.32,Normal
28:44.5,thermostat_39,thermostat,82.66,43.4,390,1450,860,457.79,9,7,1,7.65,Anomaly_Injection
28:45.5,smart_light_5,smart,78.86,76.7,825,941,579,27.69,5,10,0,0.76,Normal
28:46.5,sensor_36,sensor,46.09,13.43,688,464,775,249.97,5,7,0,18.07,Normal
28:47.5,smart_light_18,smart,48.58,21.73,177,465,269,412.88,7,10,1,1.17,Normal
28:48.5,sensor_36,sensor,26.08,43.66,139,257,908,279.77,8,6,1,6.61,Normal
28:49.5,smart_light_22,smart,39.98,74.38,989,1020,640,279.74,9,8,0,17.88,Normal
28:50.5,camera_7,camera,66.87,60.86,135,732,498,44.93,7,8,0,0.04,Anomaly_Injection
28:51.5,camera_50,camera,44.02,77.74,517,878,311,105.91,7,10,0,4.09,Anomaly_Spoofing
28:52.5,smart_light_41,smart,15.78,42.63,1066,874,248,412.52,1,9,0,13.41,Normal
28:53.5,sensor_37,sensor,58.53,77.42,795,1230,219,281.75,5,2,0,5.91,Normal
28:54.5,camera_45,camera,10.41,65.82,601,457,198,428.82,4,9,1,4.08,Normal
28:55.5,thermostat_24,thermostat,51.88,68.64,907,1440,956,453.14,6,8,0,15.37,Normal
28:56.5,smart_light_50,smart,33.08,53.15,109,402,328,193.4,2,9,0,1.67,Normal
28:57.5,thermostat_36,thermostat,56.27,46.85,880,202,947,218.41,5,10,0,10.94,Normal
28:58.5,camera_34,camera,65.21,38.86,223,1176,264,232.58,6,4,1,19.31,Normal
28:59.5,camera_40,camera,12.69,48.92,1404,390,116,306.48,2,4,0,17.58,Normal
29:00.5,thermostat_16,thermostat,67.85,19.08,870,50,845,118.61,7,9,0,2.13,Normal
29:01.5,camera_39,camera,47.79,79.69,120,450,783,242.41,6,10,0,16.24,Normal
29:02.5,thermostat_20,thermostat,72.72,39.65,651,860,127,437.37,1,0,0,3.7,Normal
29:03.5,smart_light_21,smart,85.58,31.14,373,643,725,195.79,8,10,1,2.99,Normal
29:04.5,camera_47,camera,19.44,15.81,454,307,464,497.94,8,1,0,17.9,Normal
29:05.5,thermostat_20,thermostat,76.46,30.38,347,1100,600,118.94,9,7,0,8.48,Normal
29:06.5,thermostat_26,thermostat,75.15,15.54,62,689,123,490.05,8,8,0,9.08,Normal
29:07.5,camera_28,camera,88.36,27.87,1021,36,375,58.08,4,7,0,7.61,Normal
29:08.5,sensor_13,sensor,40.01,41.08,929,292,238,329.81,5,2,0,3.24,Normal
29:09.5,thermostat_38,thermostat,72.98,79.82,703,924,816,482.6,9,6,1,18.46,Anomaly_Spoofing
29:10.5,smart_light_45,smart,75.28,41.93,1007,1147,96,75.86,7,2,0,13.34,Anomaly_Spoofing
29:11.5,camera_32,camera,74.31,23.84,1405,365,139,175.68,8,9,0,0.56,Normal
29:12.5,smart_light_13,smart,28.15,81.67,35,424,329,463.48,8,0,1,9.2,Anomaly_DoS
29:13.5,smart_light_13,smart,35.4,80.83,290,720,421,468.9,7,5,1,9.27,Normal
29:14.5,sensor_3,sensor,58.56,78.06,1248,927,915,202.54,7,7,1,0.32,Normal
29:15.5,thermostat_6,thermostat,56.64,20.27,791,377,383,400.24,1,9,0,10.75,Normal
29:16.5,thermostat_16,thermostat,21.59,52.99,954,281,10,61.02,7,2,1,7.6,Anomaly_Spoofing
29:17.5,thermostat_18,thermostat,39.83,61.89,750,959,919,263.29,6,1,0,12.79,Normal
29:18.5,sensor_3,sensor,52.78,59.83,1253,1213,61,476.86,8,6,1,19.41,Anomaly_DoS
29:19.5,camera_12,camera,25.53,50.23,665,571,409,453.74,7,7,0,6.49,Normal
29:20.5,sensor_1,sensor,40.31,45.14,556,323,438,58.17,8,8,1,16.5,Normal
29:21.5,smart_light_45,smart,81.35,43.44,980,1216,318,324.02,4,9,1,7.47,Normal
29:22.5,smart_light_39,smart,78.76,56.81,938,243,350,423.8,2,9,0,19.41,Anomaly_Injection
29:23.5,camera_43,camera,76.55,30.07,171,262,245,134.12,1,6,0,14.31,Normal
29:24.5,sensor_26,sensor,88.17,31.48,34,1378,210,23.43,3,8,0,2.08,Normal
29:25.5,camera_19,camera,68.08,10.12,667,743,785,270.73,2,5,0,8.53,Normal
29:26.5,sensor_2,sensor,84.77,27.76,456,1311,787,161.85,7,1,1,1.7,Normal
29:27.5,sensor_4,sensor,53.44,75.32,1265,312,535,211.26,6,5,0,1.5,Anomaly_DoS
29:28.5,smart_light_40,smart,88.51,52.26,187,966,12,23.1,2,3,0,5.42,Normal
29:29.5,sensor_8,sensor,31.05,43.24,774,639,377,341.67,3,2,0,12.56,Normal
29:30.5,thermostat_36,thermostat,86.53,45.38,771,1095,509,89.08,6,4,1,10.18,Normal
29:31.5,thermostat_12,thermostat,86.12,16.98,809,929,621,48.66,3,5,1,5.25,Normal
29:32.5,thermostat_44,thermostat,64.4,65.16,321,1240,487,146.22,3,5,1,5.27,Normal
29:33.5,thermostat_29,thermostat,58.36,49.53,1408,417,322,23.11,3,0,1,5.02,Normal
29:34.5,camera_4,camera,42.16,47.17,1008,295,558,369.75,3,4,0,7.02,Normal
29:35.5,camera_36,camera,26.41,18.33,1136,367,370,138.89,1,6,0,14.58,Normal
29:36.5,camera_43,camera,61.47,45.71,1014,1271,620,455.26,2,2,1,17.67,Normal
29:37.5,sensor_24,sensor,53.32,73.12,1118,95,838,181.9,4,5,0,0.22,Normal
29:38.5,camera_25,camera,70.7,45.02,1410,428,498,217.34,8,6,1,10.71,Normal
29:39.5,thermostat_26,thermostat,46.79,81.01,573,740,556,45.86,5,2,1,6.72,Anomaly_Injection
29:40.5,smart_light_42,smart,62.02,58.27,1069,604,109,230.79,5,1,1,0.5,Anomaly_DoS
29:41.5,sensor_42,sensor,53.79,39.95,722,461,494,443.28,8,7,1,12.32,Anomaly_DoS
29:42.5,camera_8,camera,60.13,77.15,724,813,860,382.26,4,0,0,6.11,Anomaly_Injection
29:43.5,sensor_29,sensor,51.43,19.05,1023,702,597,426.18,4,8,0,9.94,Normal
29:44.5,thermostat_15,thermostat,54.46,31.01,419,794,260,433.38,9,2,0,4.22,Normal
29:45.5,smart_light_29,smart,56.02,20.9,286,1151,203,379.52,4,7,1,9.59,Anomaly_Injection
29:46.5,sensor_30,sensor,30.75,51.17,504,270,143,499.84,4,3,0,16.1,Normal
29:47.5,thermostat_26,thermostat,37.31,56.72,1263,1047,73,112.53,8,2,0,9.42,Normal
29:48.5,sensor_37,sensor,57.88,11.83,736,651,687,151.73,7,9,1,13.42,Anomaly_Injection
29:49.5,thermostat_10,thermostat,50.78,38.17,459,807,578,235.1,3,4,0,17.6,Normal
29:50.5,sensor_6,sensor,34.82,60.41,1358,973,369,162.66,8,3,1,9.8,Normal
29:51.5,smart_light_25,smart,57.47,54.72,805,1397,931,39.4,5,0,0,11.31,Normal
